Variant;Woonplaats;Woonplaatscode;Gemeente;Gemeente_code;Provincie;Provincie_code;Landsdeel;Landsdeel_code
's-gravenhage;'s-Gravenhage;1245;'s-Gravenhage;GM0518;Zuid-Holland;PV28;West-Nederland;LD03
den haag;'s-Gravenhage;1245;'s-Gravenhage;GM0518;Zuid-Holland;PV28;West-Nederland;LD03
s gravenhage;'s-Gravenhage;1245;'s-Gravenhage;GM0518;Zuid-Holland;PV28;West-Nederland;LD03
sgravenhage;'s-Gravenhage;1245;'s-Gravenhage;GM0518;Zuid-Holland;PV28;West-Nederland;LD03
's-hertogenbosch;'s-Hertogenbosch;1595;'s-Hertogenbosch;GM0796;Noord-Brabant;PV30;Zuid-Nederland;LD04
den bosch;'s-Hertogenbosch;1595;'s-Hertogenbosch;GM0796;Noord-Brabant;PV30;Zuid-Nederland;LD04
s hertogenbosch;'s-Hertogenbosch;1595;'s-Hertogenbosch;GM0796;Noord-Brabant;PV30;Zuid-Nederland;LD04
's-hertogenbos;'s-Hertogenbosch;1595;'s-Hertogenbosch;GM0796;Noord-Brabant;PV30;Zuid-Nederland;LD04
den bos;'s-Hertogenbosch;1595;'s-Hertogenbosch;GM0796;Noord-Brabant;PV30;Zuid-Nederland;LD04
s hertogenbos;'s-Hertogenbosch;1595;'s-Hertogenbosch;GM0796;Noord-Brabant;PV30;Zuid-Nederland;LD04
shertogenbosch;'s-Hertogenbosch;1595;'s-Hertogenbosch;GM0796;Noord-Brabant;PV30;Zuid-Nederland;LD04
shertogenbos;'s-Hertogenbosch;1595;'s-Hertogenbosch;GM0796;Noord-Brabant;PV30;Zuid-Nederland;LD04
nuland;Nuland;3611;'s-Hertogenbosch;GM0796;Noord-Brabant;PV30;Zuid-Nederland;LD04
rosmalen;Rosmalen;1596;'s-Hertogenbosch;GM0796;Noord-Brabant;PV30;Zuid-Nederland;LD04
vinkel;Vinkel;3612;'s-Hertogenbosch;GM0796;Noord-Brabant;PV30;Zuid-Nederland;LD04
aa en hunze;Aa en Hunze;;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
aa & hunze;Aa en Hunze;;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
aa&hunze;Aa en Hunze;;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
amen;Amen;1147;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
anderen;Anderen;1148;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
anloo;Anloo;1149;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
annen;Annen;1150;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
annerveenschekanaal;Annerveenschekanaal;1151;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
balloo;Balloo;1152;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
balloërveld;Balloërveld;1153;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
ballorveld;Balloërveld;1153;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
balloerveld;Balloërveld;1153;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
deurze;Deurze;1154;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
eext;Eext;1155;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
eexterveen;Eexterveen;1156;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
eexterveenschekanaal;Eexterveenschekanaal;1157;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
eexterzandvoort;Eexterzandvoort;1158;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
ekehaar;Ekehaar;1159;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
eldersloo;Eldersloo;1160;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
eleveld;Eleveld;1161;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
gasselte;Gasselte;1162;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
gasselternijveen;Gasselternijveen;1163;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
gasselternyveen;Gasselternijveen;1163;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
gasselternijveenschemond;Gasselternijveenschemond;1164;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
gasselternyveenschemond;Gasselternijveenschemond;1164;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
gasteren;Gasteren;1165;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
geelbroek;Geelbroek;1166;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
gieten;Gieten;1167;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
gieterveen;Gieterveen;1168;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
grolloo;Grolloo;1169;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
marwijksoord;Marwijksoord;1170;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
marwyksoord;Marwijksoord;1170;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
marwijcksoord;Marwijksoord;1170;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
nieuw annerveen;Nieuw Annerveen;1171;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
nieuwediep;Nieuwediep;1172;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
nijlande;Nijlande;1173;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
nylande;Nijlande;1173;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
nooitgedacht;Nooitgedacht;1174;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
oud annerveen;Oud Annerveen;1175;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
papenvoort;Papenvoort;1176;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
rolde;Rolde;1177;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
schipborg;Schipborg;1178;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
schoonloo;Schoonloo;1179;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
spijkerboor;Spijkerboor;1180;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
spykerboor;Spijkerboor;1180;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
vredenheim;Vredenheim;1181;Aa en Hunze;GM1680;Drenthe;PV22;Noord-Nederland;LD01
aalburg;Aalburg;;Aalburg;GM0738;Noord-Brabant;PV30;Zuid-Nederland;LD04
babyloniënbroek;Babyloniënbroek;1951;Aalburg;GM0738;Noord-Brabant;PV30;Zuid-Nederland;LD04
babyloninbroek;Babyloniënbroek;1951;Aalburg;GM0738;Noord-Brabant;PV30;Zuid-Nederland;LD04
babylonienbroek;Babyloniënbroek;1951;Aalburg;GM0738;Noord-Brabant;PV30;Zuid-Nederland;LD04
drongelen;Drongelen;1952;Aalburg;GM0738;Noord-Brabant;PV30;Zuid-Nederland;LD04
eethen;Eethen;1953;Aalburg;GM0738;Noord-Brabant;PV30;Zuid-Nederland;LD04
genderen;Genderen;1954;Aalburg;GM0738;Noord-Brabant;PV30;Zuid-Nederland;LD04
meeuwen;Meeuwen;1955;Aalburg;GM0738;Noord-Brabant;PV30;Zuid-Nederland;LD04
veen;Veen;1956;Aalburg;GM0738;Noord-Brabant;PV30;Zuid-Nederland;LD04
wijk en aalburg;Wijk en Aalburg;1957;Aalburg;GM0738;Noord-Brabant;PV30;Zuid-Nederland;LD04
wyk en aalburg;Wijk en Aalburg;1957;Aalburg;GM0738;Noord-Brabant;PV30;Zuid-Nederland;LD04
wijk & aalburg;Wijk en Aalburg;1957;Aalburg;GM0738;Noord-Brabant;PV30;Zuid-Nederland;LD04
wyk & aalburg;Wijk en Aalburg;1957;Aalburg;GM0738;Noord-Brabant;PV30;Zuid-Nederland;LD04
wijk&aalburg;Wijk en Aalburg;1957;Aalburg;GM0738;Noord-Brabant;PV30;Zuid-Nederland;LD04
wyk&aalburg;Wijk en Aalburg;1957;Aalburg;GM0738;Noord-Brabant;PV30;Zuid-Nederland;LD04
wijck en aalburg;Wijk en Aalburg;1957;Aalburg;GM0738;Noord-Brabant;PV30;Zuid-Nederland;LD04
wijck & aalburg;Wijk en Aalburg;1957;Aalburg;GM0738;Noord-Brabant;PV30;Zuid-Nederland;LD04
wijck&aalburg;Wijk en Aalburg;1957;Aalburg;GM0738;Noord-Brabant;PV30;Zuid-Nederland;LD04
aalsmeer;Aalsmeer;2571;Aalsmeer;GM0358;Noord-Holland;PV27;West-Nederland;LD03
kudelstaart;Kudelstaart;2572;Aalsmeer;GM0358;Noord-Holland;PV27;West-Nederland;LD03
aalten;Aalten;1193;Aalten;GM0197;Gelderland;PV25;Oost-Nederland;LD02
bredevoort;Bredevoort;1194;Aalten;GM0197;Gelderland;PV25;Oost-Nederland;LD02
de heurne;De Heurne;1195;Aalten;GM0197;Gelderland;PV25;Oost-Nederland;LD02
dinxperlo;Dinxperlo;1196;Aalten;GM0197;Gelderland;PV25;Oost-Nederland;LD02
achtkarspelen;Achtkarspelen;;Achtkarspelen;GM0059;Friesland;PV21;Noord-Nederland;LD01
augustinusga;Augustinusga;3173;Achtkarspelen;GM0059;Friesland;PV21;Noord-Nederland;LD01
boelenslaan;Boelenslaan;3174;Achtkarspelen;GM0059;Friesland;PV21;Noord-Nederland;LD01
buitenpost;Buitenpost;3175;Achtkarspelen;GM0059;Friesland;PV21;Noord-Nederland;LD01
drogeham;Drogeham;3176;Achtkarspelen;GM0059;Friesland;PV21;Noord-Nederland;LD01
gerkesklooster;Gerkesklooster;3177;Achtkarspelen;GM0059;Friesland;PV21;Noord-Nederland;LD01
harkema;Harkema;3178;Achtkarspelen;GM0059;Friesland;PV21;Noord-Nederland;LD01
kootstertille;Kootstertille;3179;Achtkarspelen;GM0059;Friesland;PV21;Noord-Nederland;LD01
stroobos;Stroobos;3180;Achtkarspelen;GM0059;Friesland;PV21;Noord-Nederland;LD01
surhuisterveen;Surhuisterveen;3181;Achtkarspelen;GM0059;Friesland;PV21;Noord-Nederland;LD01
surhuizum;Surhuizum;3182;Achtkarspelen;GM0059;Friesland;PV21;Noord-Nederland;LD01
twijzel;Twijzel;3183;Achtkarspelen;GM0059;Friesland;PV21;Noord-Nederland;LD01
twyzel;Twijzel;3183;Achtkarspelen;GM0059;Friesland;PV21;Noord-Nederland;LD01
twijzelerheide;Twijzelerheide;3184;Achtkarspelen;GM0059;Friesland;PV21;Noord-Nederland;LD01
twyzelerheide;Twijzelerheide;3184;Achtkarspelen;GM0059;Friesland;PV21;Noord-Nederland;LD01
alblasserdam;Alblasserdam;2386;Alblasserdam;GM0482;Zuid-Holland;PV28;West-Nederland;LD03
albrandswaard;Albrandswaard;;Albrandswaard;GM0613;Zuid-Holland;PV28;West-Nederland;LD03
poortugaal;Poortugaal;2363;Albrandswaard;GM0613;Zuid-Holland;PV28;West-Nederland;LD03
rhoon;Rhoon;2362;Albrandswaard;GM0613;Zuid-Holland;PV28;West-Nederland;LD03
rotterdam-albrandswaard;Rotterdam-Albrandswaard;2364;Albrandswaard;GM0613;Zuid-Holland;PV28;West-Nederland;LD03
rotterdam albrandswaard;Rotterdam-Albrandswaard;2364;Albrandswaard;GM0613;Zuid-Holland;PV28;West-Nederland;LD03
alkmaar;Alkmaar;2348;Alkmaar;GM0361;Noord-Holland;PV27;West-Nederland;LD03
de rijp;De Rijp;3553;Alkmaar;GM0361;Noord-Holland;PV27;West-Nederland;LD03
de ryp;De Rijp;3553;Alkmaar;GM0361;Noord-Holland;PV27;West-Nederland;LD03
driehuizen;Driehuizen;1886;Alkmaar;GM0361;Noord-Holland;PV27;West-Nederland;LD03
