"Woonplaatsen in Nederland 2015"
"Onderwerpen";"Woonplaatscode";"Gemeente";"Gemeente";"Provincie";"Provincie";"Landsdeel";"Landsdeel"
"Onderwerpen";"Woonplaatscode";"Naam ";"Code ";"Naam";"Code";"Naam";"Code"
"Woonplaatsen";"Code";"Naam";"Code";"Naam";"Code";"Naam";"Code"
"Aadorp";"1925";"Almelo";"GM0141";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Aagtekerke";"2774";"Veere";"GM0717";"Zeeland";"PV29";"West-Nederland";"LD03"
"Aalden";"2145";"Coevorden";"GM0109";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Aalsmeer";"2571";"Aalsmeer";"GM0358";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Aalsmeerderbrug";"1600";"Haarlemmermeer";"GM0394";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Aalst";"2626";"Zaltbommel";"GM0297";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Aalsum";"3387";"Dongeradeel";"GM0058";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Aalten";"1193";"Aalten";"GM0197";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Ter Aar";"2673";"Nieuwkoop";"GM0569";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Ter Aard";"2394";"Assen";"GM0106";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Aardenburg";"2961";"Sluis";"GM1714";"Zeeland";"PV29";"West-Nederland";"LD03"
"Aarlanderveen";"1079";"Alphen aan den Rijn";"GM0484";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Aarle-Rixtel";"1445";"Laarbeek";"GM1659";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Aartswoud";"2788";"Opmeer";"GM0432";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Abbega";"2400";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Abbekerk";"3147";"Medemblik";"GM0420";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Abbenbroek";"1385";"Nissewaard";"GM1930";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Abbenes";"1608";"Haarlemmermeer";"GM0394";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Abcoude";"1332";"De Ronde Venen";"GM0736";"Utrecht";"PV26";"West-Nederland";"LD03"
"Achlum";"1364";"Franekeradeel";"GM0070";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Achterveld";"1063";"Barneveld";"GM0203";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Achterveld";"2640";"Leusden";"GM0327";"Utrecht";"PV26";"West-Nederland";"LD03"
"Achthuizen";"2131";"Goeree-Overflakkee";"GM1924";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Achtmaal";"3493";"Zundert";"GM0879";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Acquoy";"3527";"Geldermalsen";"GM0236";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Adorp";"2464";"Winsum";"GM0053";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Aduard";"2114";"Zuidhorn";"GM0056";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Aerdenhout";"2652";"Bloemendaal";"GM0377";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Aerdt";"2976";"Rijnwaarden";"GM0196";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Afferden";"2902";"Druten";"GM0225";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Afferden L";"1122";"Bergen (L.)";"GM0893";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Agelo";"1407";"Dinkelland";"GM1774";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Akersloot";"2267";"Castricum";"GM0383";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Akkrum";"2525";"Heerenveen";"GM0074";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Akmarijp";"2484";"De Friese Meren";"GM1921";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Albergen";"1283";"Tubbergen";"GM0183";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Alblasserdam";"2386";"Alblasserdam";"GM0482";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Alde Leie";"3224";"Leeuwarderadeel";"GM0081";"Friesland";"PV21";"Noord-Nederland";"LD01"
